Sentence,Region,DataSource,Country,is_synthetic,text_clean,word_count
هيبقى اليوم ملل عايز تروح البحر,EGY,SYNTHETIC,NA,True,هيبقي اليوم ملل عايز تروح البحر,6
المفروض أروح الفنادق الكبيرة عشان أنا محتاج نزلة,EGY,SYNTHETIC,NA,True,المفروض اروح الفنادق الكبيره عشان انا محتاج نزله,8
مش هاتلاخ عن الشاب اللي صار مشكلة في عشان ماشي كل اللي بقوله علشان كده,EGY,SYNTHETIC,NA,True,مش هاتلاخ عن الشاب اللي صار مشكله في عشان ماشي كل اللي بقوله علشان كده,15
انتي بتكلمي البوتيرkas على الفيس بوك كتير؟ كأنك بتحكي للجيران,EGY,SYNTHETIC,NA,True,انتي بتكلمي البوتير علي الفيس بوك كتير؟ كانك بتحكي للجيران,10
عايز اشترى مكينة صباغة خلصت اتمنى في السوق,EGY,SYNTHETIC,NA,True,عايز اشتري مكينه صباغه خلصت اتمني في السوق,8
الحل بس هو اترك اللي بيحبك عشان يحب اللي بتعشق,EGY,SYNTHETIC,NA,True,الحل بس هو اترك اللي بيحبك عشان يحب اللي بتعشق,10
أنا كتير افكر في يوم الحفلة اللي كان في البيت,EGY,SYNTHETIC,NA,True,انا كتير افكر في يوم الحفله اللي كان في البيت,10
أكيد الموضوع ده بيحكي ايه في الصحف ده السنة,EGY,SYNTHETIC,NA,True,اكيد الموضوع ده بيحكي ايه في الصحف ده السنه,9
هو اللي قالت لي ايه في الحفلة انتِ فعلاً روحتي فرحين,EGY,SYNTHETIC,NA,True,هو اللي قالت لي ايه في الحفله انت فعلا روحتي فرحين,11
عايز أشتغل في مكتب كمان لأني مش بس عايز أعرف كيف أعمل حاجة بل هى حاجة بتحبها,EGY,SYNTHETIC,NA,True,عايز اشتغل في مكتب كمان لاني مش بس عايز اعرف كيف اعمل حاجه بل هي حاجه بتحبها,17
انا ما عرفت اجيب العصير من البسكويت اللي بيعطونه في المقهى,EGY,SYNTHETIC,NA,True,انا ما عرفت اجيب العصير من البسكويت اللي بيعطونه في المقهي,11
مش هادأش انتي عشان اللي بيحبكي واقفين في الموقف,EGY,SYNTHETIC,NA,True,مش هاداش انتي عشان اللي بيحبكي واقفين في الموقف,9
العمل بيغبي في الشارع زي ما كان في العصور الوسطى,EGY,SYNTHETIC,NA,True,العمل بيغبي في الشارع زي ما كان في العصور الوسطي,10
الصيام بيكون فرصة كبيرة للتعقل والتركيز عشان ما بتشتت في الأمور اليومية,EGY,SYNTHETIC,NA,True,الصيام بيكون فرصه كبيره للتعقل والتركيز عشان ما بتشتت في الامور اليوميه,12
الناس محتاجين مساعدتي في حياتهم دي كمان عشان اللي بيعمله بيفرحولي,EGY,SYNTHETIC,NA,True,الناس محتاجين مساعدتي في حياتهم دي كمان عشان اللي بيعمله بيفرحولي,11
مش هايدخلش غرفة اللي بيقعد فيه عشان الناس بتعمل فيها حاجات غريبة,EGY,SYNTHETIC,NA,True,مش هايدخلش غرفه اللي بيقعد فيه عشان الناس بتعمل فيها حاجات غريبه,12
الكلبي مش كتير راح بيخبرك ايه بس يقف بجانبك ويبص,EGY,SYNTHETIC,NA,True,الكلبي مش كتير راح بيخبرك ايه بس يقف بجانبك ويبص,10
اللي بيجيب في الشارع بييجي معي بس مش بيعطيك حاجة بقي,EGY,SYNTHETIC,NA,True,اللي بيجيب في الشارع بييجي معي بس مش بيعطيك حاجه بقي,11
انا شايف العافية في يوم العيد عايز اشارك فيه اللي بيحبني,EGY,SYNTHETIC,NA,True,انا شايف العافيه في يوم العيد عايز اشارك فيه اللي بيحبني,11
هيك ما حدا عايز يشارك فيه غير انت يا اسامة,EGY,SYNTHETIC,NA,True,هيك ما حدا عايز يشارك فيه غير انت يا اسامه,10
المكان دا بيعمل حاجة كده عادي مع كل حد,EGY,SYNTHETIC,NA,True,المكان دا بيعمل حاجه كده عادي مع كل حد,9
مش عارف هاد اللي حصل عشان لما انتي تضحك على راجل,EGY,SYNTHETIC,NA,True,مش عارف هاد اللي حصل عشان لما انتي تضحك علي راجل,11
انا ما عارف حالتي دي عشان اللي حصل لي يوم قبل الصلاة,EGY,SYNTHETIC,NA,True,انا ما عارف حالتي دي عشان اللي حصل لي يوم قبل الصلاه,12
اللي بتاعي عنده ايد خفيفة ومرونة تانية,EGY,SYNTHETIC,NA,True,اللي بتاعي عنده ايد خفيفه ومرونه تانيه,7
هيبقى انا عايز أعرف ايه اللي قلته عن اللى حصل لي امس,EGY,SYNTHETIC,NA,True,هيبقي انا عايز اعرف ايه اللي قلته عن اللي حصل لي امس,12
اللي حدا بيعرف عنه هاد الكلام بيقصد ايه,EGY,SYNTHETIC,NA,True,اللي حدا بيعرف عنه هاد الكلام بيقصد ايه,8
أنا عايز أعرف ايه اللي حصل بيني وبين صاحبي دا,EGY,SYNTHETIC,NA,True,انا عايز اعرف ايه اللي حصل بيني وبين صاحبي دا,10
عاوز اعرف ايه اللي حصل عندك مع اللي حضرتك؟,EGY,SYNTHETIC,NA,True,عاوز اعرف ايه اللي حصل عندك مع اللي حضرتك؟,9
مش عارف ايه اللي دلوقتي بيقوله الناس عن ايه,EGY,SYNTHETIC,NA,True,مش عارف ايه اللي دلوقتي بيقوله الناس عن ايه,9
هاد التفاحة دي مافيش بس فيها اومليج خاص,EGY,SYNTHETIC,NA,True,هاد التفاحه دي مافيش بس فيها اومليج خاص,8
مش عارف ايه اللي حصل بين ابنتي وماكو فائدة منه,EGY,SYNTHETIC,NA,True,مش عارف ايه اللي حصل بين ابنتي وماكو فائده منه,10
اللي حدا بيعرف عنهم هاد اللهجات بيعمله تاني,EGY,SYNTHETIC,NA,True,اللي حدا بيعرف عنهم هاد اللهجات بيعمله تاني,8
اللي عملت معانا اليوم بسيطة واللي بياخدنا لازم كدة,EGY,SYNTHETIC,NA,True,اللي عملت معانا اليوم بسيطه واللي بياخدنا لازم كده,9
هو عارف ايه اللي حصل لي يوم مدرستي,EGY,SYNTHETIC,NA,True,هو عارف ايه اللي حصل لي يوم مدرستي,8
